person,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,in_frame_sample,group,contact_traced_covid_cases
7308,1917,Stayed the Same,Stayed the Same,Stayed the Same,Increased,Decreased,Rent expenses,CECRA,"NA",Yes,Don't Know,Yes,Chinese,No,Yes,Yes,"NA",Yes,1,2,2
7312,1994,Increased,Stayed the Same,Decreased,Decreased,Decreased,Increasing competition,"Provincial, Territorial or Municipal Government Programs","NA",Don't Know,Less than 1 month,Yes,Black,No,No,"NA","NA",No,1,2,2
7321,1996,Decreased,Increased,Decreased,Increased,Decreased,Insufficent and/or fluctuating customer demand,Temporary 10% Wage Subsidy,"NA",No,Less than 1 month,No,"NA",No,Yes,Yes,"NA",Yes,1,2,1
7322,1936,Increased,Stayed the Same,Increased,Decreased,Decreased,Government regulations,Financial Institution (Term Loan or Line-of-Credit,"NA",No,3 months to less than 6 months,Yes,Chinese,No,No,"NA","NA",Very Limited (Under 5 Tables),1,2,4
7325,1963,Stayed the Same,Stayed the Same,Decreased,Decreased,Decreased,Cost of delivery and take out,Financial Institution (Term Loan or Line-of-Credit,"NA",Yes,Not considering permanent closure or bankrupcy,No,"NA",No,Yes,Yes,"NA",Yes,1,2,4
7326,1953,Stayed the Same,Stayed the Same,Decreased,Stayed the Same,Decreased,Cost of delivery and take out,Financial Institution (Term Loan or Line-of-Credit,"NA",Yes,12 months or more,No,"NA",No,Yes,Yes,"NA",Yes,1,2,1
7328,1963,Decreased,Stayed the Same,Stayed the Same,Increased,Decreased,Maintaining sufficient cash flow or managing debt,Loan from Family or Friends,"NA",No,1 month to less than 3 months,No,"NA",No,Yes,Yes,"NA",Yes,1,2,0
7332,1960,Stayed the Same,Decreased,Decreased,Decreased,Decreased,High speed internet,Grant or Loan Funding from Philanthropic or Mutual-Aid Sources,"NA",Yes,12 months or more,No,"NA",No,Yes,Yes,"NA",Yes,1,2,6
7336,2011,Decreased,Stayed the Same,Increased,Increased,Decreased,Other,CECRA,"NA",Don't Know,Less than 1 month,No,"NA",No,No,"NA","NA",Yes,1,2,3
7338,1943,Stayed the Same,Decreased,Decreased,Decreased,Increased,Shortage of labour force,CERS,"NA",No,1 month to less than 3 months,No,"NA",No,Yes,Yes,"NA",Yes,1,2,2
7345,1943,Stayed the Same,Stayed the Same,Stayed the Same,Decreased,Decreased,Maintaining sufficient cash flow or managing debt,CERS,"NA",Don't Know,12 months or more,Yes,Black,No,No,"NA","NA",Yes,1,2,3
7359,1954,Stayed the Same,Stayed the Same,Decreased,Increased,Increased,Rising cost of inputs,CECRA,"NA",Don't Know,Less than 1 month,No,"NA",No,Yes,Yes,"NA",Yes,1,2,3
7361,1921,Stayed the Same,Stayed the Same,Decreased,Increased,Decreased,Rent expenses,"Provincial, Territorial or Municipal Government Programs","NA",Yes,6 months to less than 12 months,Yes,South Asian,No,No,"NA","NA",Yes,1,2,0
7369,1900,Stayed the Same,Stayed the Same,Stayed the Same,Stayed the Same,Stayed the Same,Maintaining sufficient cash flow or managing debt,Other,"NA",Don't Know,1 month to less than 3 months,No,"NA",No,Yes,Yes,"NA",Yes,1,2,3
7370,1948,Decreased,Stayed the Same,Decreased,Increased,Decreased,Increasing competition,Other,"NA",No,1 month to less than 3 months,No,"NA",Yes,Yes,Yes,"NA",Yes,1,2,3
7371,1923,Stayed the Same,Decreased,Decreased,Increased,Stayed the Same,Maintaining sufficient cash flow or managing debt,Other,"NA",Don't Know,Not considering permanent closure or bankrupcy,No,"NA",No,Yes,Yes,"NA",Yes,1,2,4
7374,1966,Stayed the Same,Stayed the Same,Stayed the Same,Stayed the Same,Stayed the Same,Rising cost of inputs,Loan from Family or Friends,"NA",No,3 months to less than 6 months,No,"NA",No,No,"NA","NA",Yes,1,2,3
7376,1991,Stayed the Same,Decreased,Decreased,Increased,Decreased,Increasing competition,Financial Institution (Term Loan or Line-of-Credit,"NA",No,1 month to less than 3 months,No,"NA",No,Yes,Yes,"NA",Yes,1,2,3
7385,1992,Decreased,Stayed the Same,Decreased,Stayed the Same,Decreased,Cost of insurance,Grant or Loan Funding from Philanthropic or Mutual-Aid Sources,"NA",Don't Know,6 months to less than 12 months,Yes,Southeast Asian,Yes,Yes,"No, but our business used to use it",I don't trust these platforms,Yes,1,2,1
7386,2002,Increased,Stayed the Same,Stayed the Same,Decreased,Increased,Cost of insurance,CEBA,"NA",No,1 month to less than 3 months,No,"NA",No,No,"NA","NA",Yes,1,2,4
7387,1958,Stayed the Same,Stayed the Same,Stayed the Same,Increased,Decreased,Supply chain challenges,Grant or Loan Funding from Philanthropic or Mutual-Aid Sources,"NA",Don't Know,Not considering permanent closure or bankrupcy,No,"NA",No,Yes,Yes,"NA",Yes,1,2,2
7388,1949,Stayed the Same,Stayed the Same,Increased,Increased,Decreased,Government regulations,Temporary 10% Wage Subsidy,"NA",No,Don't Know,No,"NA",No,No,"NA","NA",Yes,1,2,4
7390,1987,Decreased,Stayed the Same,Increased,Increased,Stayed the Same,Supply chain challenges,Temporary 10% Wage Subsidy,"NA",Don't Know,1 month to less than 3 months,Yes,South Asian,No,Yes,Yes,"NA",Yes,1,2,3
7392,1956,Stayed the Same,Increased,Decreased,Decreased,Decreased,Cost of insurance,Loan from Family or Friends,"NA",Don't Know,3 months to less than 6 months,Yes,Black,No,Yes,Yes,"NA",Yes,1,2,5
7401,2000,Stayed the Same,Stayed the Same,Decreased,Increased,Decreased,Maintaining sufficient cash flow or managing debt,Financial Institution (Term Loan or Line-of-Credit,"NA",Yes,Not considering permanent closure or bankrupcy,No,"NA",No,Yes,Yes,"NA",Yes,1,2,3
7403,1967,Stayed the Same,Stayed the Same,Increased,Increased,Decreased,Government regulations,Financial Institution (Term Loan or Line-of-Credit,"NA",Don't Know,1 month to less than 3 months,Yes,South Asian,No,Yes,Yes,"NA",Yes,1,2,5
7410,2003,Stayed the Same,Decreased,Increased,Increased,Stayed the Same,Rising cost of inputs,CECRA,"NA",Yes,3 months to less than 6 months,No,"NA",No,No,"NA","NA",Yes,1,2,6
7411,1920,Stayed the Same,Stayed the Same,Decreased,Stayed the Same,Decreased,Other,CEBA,"NA",Don't Know,3 months to less than 6 months,No,"NA",Yes,Yes,Yes,"NA",Yes,1,2,2
7419,2014,Increased,Stayed the Same,Decreased,Decreased,Decreased,Government regulations,None of the Above,Lack of awareness,Don't Know,6 months to less than 12 months,No,"NA",No,No,"NA","NA",Yes,1,2,6
7422,1997,Decreased,Stayed the Same,Decreased,Increased,Decreased,Recruiting and training skilled employees,CEBA,"NA",Yes,Not considering permanent closure or bankrupcy,No,"NA",No,No,"NA","NA",Yes,1,2,2
7426,1969,Increased,Stayed the Same,Decreased,Decreased,Decreased,Cost of insurance,Loan from Family or Friends,"NA",Don't Know,3 months to less than 6 months,No,"NA",No,Yes,Yes,"NA",Yes,1,2,5
7435,1906,Stayed the Same,Stayed the Same,Increased,Increased,Increased,Shortage of labour force,CEBA,"NA",No,12 months or more,No,"NA",No,No,"NA","NA",Yes,1,2,5
7441,1921,Decreased,Stayed the Same,Decreased,Increased,Decreased,Government regulations,CERS,"NA",No,6 months to less than 12 months,No,"NA",No,Yes,Yes,"NA",Yes,1,2,2
7442,1985,Stayed the Same,Stayed the Same,Decreased,Decreased,Decreased,"NA",Regional Relief and Recovery Fund,"NA",No,6 months to less than 12 months,No,"NA",No,Yes,Yes,"NA",Yes,1,2,0
7454,1955,Stayed the Same,Increased,Decreased,Increased,Decreased,Shortage of space and equipment,CEWS,"NA",No,3 months to less than 6 months,No,"NA",No,Yes,Yes,"NA",Yes,1,2,3
7455,1960,Stayed the Same,Decreased,Stayed the Same,Decreased,Stayed the Same,Shortage of space and equipment,Other,"NA",No,6 months to less than 12 months,No,"NA",No,Yes,Yes,"NA",Yes,1,2,2
7457,2020,Stayed the Same,Increased,Stayed the Same,Increased,Increased,Insufficent and/or fluctuating customer demand,Grant or Loan Funding from Philanthropic or Mutual-Aid Sources,"NA",No,Less than 1 month,No,"NA",No,No,"NA","NA",Yes,1,2,1
7460,1925,Stayed the Same,Stayed the Same,Decreased,Increased,Increased,Maintaining sufficient cash flow or managing debt,Other,"NA",Don't Know,Don't Know,No,"NA",No,No,"NA","NA",Yes,1,2,3
7462,1985,Stayed the Same,Decreased,Decreased,Increased,Decreased,Other,Temporary 10% Wage Subsidy,"NA",No,12 months or more,No,"NA",No,Yes,Yes,"NA",Yes,1,2,4
7467,1914,Decreased,Decreased,Decreased,Increased,Decreased,Government regulations,CEWS,"NA",No,6 months to less than 12 months,No,"NA",No,Yes,Yes,"NA",Yes,1,2,4
7473,1976,Stayed the Same,Increased,Decreased,Increased,Increased,High speed internet,Loan from Family or Friends,"NA",Yes,Not considering permanent closure or bankrupcy,No,"NA",No,Yes,Yes,"NA",Yes,1,2,7
7477,1938,Stayed the Same,Stayed the Same,Increased,Increased,Decreased,Rent expenses,CEBA,"NA",Yes,Less than 1 month,Yes,Chinese,No,No,"NA","NA",Yes,1,2,4
7481,1972,Stayed the Same,Stayed the Same,Decreased,Stayed the Same,Decreased,Government regulations,CEBA,"NA",Yes,1 month to less than 3 months,Yes,South Asian,No,Yes,Yes,"NA",Yes,1,2,1
7485,1967,Stayed the Same,Stayed the Same,Decreased,Decreased,Decreased,Shortage of space and equipment,Financial Institution (Term Loan or Line-of-Credit,"NA",No,1 month to less than 3 months,No,"NA",No,Yes,"No, but our business used to use it",I don't trust these platforms,Yes,1,2,2
7486,1923,Increased,Decreased,Stayed the Same,Increased,Decreased,Shortage of labour force,None of the Above,Funding or credit not needed,Don't Know,6 months to less than 12 months,No,"NA",No,Yes,Yes,"NA",Yes,1,2,1
7487,1978,Increased,Decreased,Decreased,Stayed the Same,Decreased,Increasing competition,Other,"NA",No,6 months to less than 12 months,No,"NA",No,No,"NA","NA",Yes,1,2,3
7496,1934,Stayed the Same,Stayed the Same,Decreased,Decreased,Decreased,Cost of insurance,CEWS,"NA",Don't Know,6 months to less than 12 months,No,"NA",No,Yes,Yes,"NA",Yes,1,2,1
7497,1915,Stayed the Same,Decreased,Decreased,Increased,Increased,Increasing competition,Regional Relief and Recovery Fund,"NA",No,3 months to less than 6 months,Yes,Chinese,No,Yes,Yes,"NA",Yes,1,2,7
7498,1980,Stayed the Same,Stayed the Same,Decreased,Increased,Stayed the Same,Rent expenses,CECRA,"NA",Don't Know,Not considering permanent closure or bankrupcy,No,"NA",No,Yes,Yes,"NA",Yes,1,2,1
7499,1990,Stayed the Same,Stayed the Same,Decreased,Decreased,Decreased,High speed internet,Grant or Loan Funding from Philanthropic or Mutual-Aid Sources,"NA",No,Don't Know,No,"NA",No,No,"NA","NA",Yes,1,2,1
7502,1959,Stayed the Same,Stayed the Same,Decreased,Increased,Decreased,Recruiting and training skilled employees,CEBA,"NA",Don't Know,Not considering permanent closure or bankrupcy,No,"NA",Yes,Yes,Yes,"NA",Yes,1,2,1
7503,1975,Decreased,Increased,Stayed the Same,Increased,Decreased,Cost of insurance,"Provincial, Territorial or Municipal Government Programs","NA",No,1 month to less than 3 months,No,"NA",Yes,Yes,Yes,"NA",Yes,1,2,5
7505,1906,Stayed the Same,Stayed the Same,Decreased,Increased,Increased,Maintaining sufficient cash flow or managing debt,Other,"NA",Yes,6 months to less than 12 months,No,"NA",No,No,"NA","NA",Yes,1,2,1
7506,1930,Decreased,Stayed the Same,Decreased,Increased,Stayed the Same,Shortage of space and equipment,None of the Above,Lack of awareness,Yes,12 months or more,No,"NA",No,Yes,Yes,"NA",Yes,1,2,7
7512,1969,Decreased,Stayed the Same,Decreased,Increased,Decreased,Rising cost of inputs,"Provincial, Territorial or Municipal Government Programs","NA",No,Less than 1 month,No,"NA",Yes,Yes,Yes,"NA",Yes,1,2,3
7513,1957,Stayed the Same,Stayed the Same,Increased,Increased,Decreased,Rent expenses,"Provincial, Territorial or Municipal Government Programs","NA",Yes,12 months or more,No,"NA",Yes,Yes,Yes,"NA",Yes,1,2,4
7515,1995,Stayed the Same,Stayed the Same,Decreased,Stayed the Same,Increased,Shortage of labour force,None of the Above,Waiting for approval or submitting application,No,6 months to less than 12 months,No,"NA",No,Yes,Yes,"NA",Yes,1,2,4
7522,1923,Stayed the Same,Increased,Decreased,Increased,Increased,Cost of delivery and take out,None of the Above,Funding or credit not needed,No,Don't Know,No,"NA",Yes,Yes,Yes,"NA",Yes,1,2,5
7523,1977,Stayed the Same,Decreased,Decreased,Stayed the Same,Decreased,Government regulations,CEWS,"NA",Yes,1 month to less than 3 months,No,"NA",No,Yes,Yes,"NA",Yes,1,2,3
7528,1919,Decreased,Decreased,Decreased,Increased,Stayed the Same,Government regulations,CEBA,"NA",No,1 month to less than 3 months,No,"NA",No,Yes,Yes,"NA",Yes,1,2,5
7532,1946,Stayed the Same,Decreased,Decreased,Decreased,Decreased,Cost of insurance,CERS,"NA",Don't Know,1 month to less than 3 months,No,"NA",Yes,Yes,Yes,"NA",Yes,1,2,5
7549,1995,Stayed the Same,Stayed the Same,Stayed the Same,Stayed the Same,Increased,"NA","Provincial, Territorial or Municipal Government Programs","NA",Don't Know,Less than 1 month,Yes,Arab,No,No,"NA","NA",Yes,1,2,2
7551,2001,Stayed the Same,Increased,Decreased,Stayed the Same,Decreased,Government regulations,Grant or Loan Funding from Philanthropic or Mutual-Aid Sources,"NA",No,6 months to less than 12 months,No,"NA",No,Yes,Yes,"NA",Yes,1,2,3
7553,2008,Stayed the Same,Stayed the Same,Decreased,Increased,Decreased,High speed internet,CERS,"NA",No,Don't Know,Yes,Southeast Asian,No,Yes,Yes,"NA",Yes,1,2,3
7559,1953,Stayed the Same,Stayed the Same,Decreased,Increased,Decreased,Insufficent and/or fluctuating customer demand,Grant or Loan Funding from Philanthropic or Mutual-Aid Sources,"NA",Don't Know,6 months to less than 12 months,No,"NA",No,Yes,Yes,"NA",Yes,1,2,2
7560,1902,Decreased,Stayed the Same,Stayed the Same,Decreased,Stayed the Same,Rising cost of inputs,Regional Relief and Recovery Fund,"NA",No,12 months or more,No,"NA",No,Yes,Yes,"NA",Yes,1,2,3
7561,1994,Increased,Stayed the Same,Stayed the Same,Decreased,Stayed the Same,Maintaining sufficient cash flow or managing debt,Loan from Family or Friends,"NA",No,1 month to less than 3 months,No,"NA",Yes,No,"NA","NA",Yes,1,2,6
7562,2016,Stayed the Same,Decreased,Decreased,Decreased,Decreased,Maintaining sufficient cash flow or managing debt,CERS,"NA",No,12 months or more,No,"NA",No,Yes,"No, but our business used to use it",Commission fees too high,Yes,1,2,4
7563,2018,Decreased,Stayed the Same,Increased,Increased,Decreased,Insufficent and/or fluctuating customer demand,Grant or Loan Funding from Philanthropic or Mutual-Aid Sources,"NA",No,6 months to less than 12 months,No,"NA",No,Yes,"No, but our business used to use it",Commission fees too high,Yes,1,2,1
7564,1990,Decreased,Stayed the Same,Decreased,Increased,Decreased,Government regulations,CEWS,"NA",No,1 month to less than 3 months,No,"NA",No,Yes,Yes,"NA",Yes,1,2,3
7565,1943,Increased,Stayed the Same,Decreased,Stayed the Same,Stayed the Same,Shortage of space and equipment,"Provincial, Territorial or Municipal Government Programs","NA",Don't Know,1 month to less than 3 months,Yes,Black,Yes,Yes,Yes,"NA",Yes,1,2,3
7571,1946,Stayed the Same,Decreased,Increased,Decreased,Stayed the Same,Supply chain challenges,Regional Relief and Recovery Fund,"NA",No,Less than 1 month,No,"NA",No,Yes,Yes,"NA",Yes,1,2,3
7572,2013,Stayed the Same,Stayed the Same,Decreased,Decreased,Stayed the Same,Cost of delivery and take out,CERS,"NA",Yes,12 months or more,Yes,South Asian,No,Yes,Yes,"NA",Yes,1,2,1
7573,1926,Increased,Stayed the Same,Stayed the Same,Increased,Decreased,Government regulations,"Provincial, Territorial or Municipal Government Programs","NA",Yes,Less than 1 month,Yes,South Asian,No,Yes,Yes,"NA",Yes,1,2,8
7580,1935,Increased,Stayed the Same,Stayed the Same,Stayed the Same,Increased,Increasing competition,Loan from Family or Friends,"NA",No,6 months to less than 12 months,Yes,South Asian,No,Yes,Yes,"NA",Yes,1,2,7
7591,1980,Stayed the Same,Stayed the Same,Decreased,Stayed the Same,Decreased,Cost of insurance,"Provincial, Territorial or Municipal Government Programs","NA",No,1 month to less than 3 months,No,"NA",No,Yes,Yes,"NA",Yes,1,2,1
7605,1900,Stayed the Same,Stayed the Same,Stayed the Same,Increased,Increased,Rising cost of inputs,Regional Relief and Recovery Fund,"NA",Yes,12 months or more,No,"NA",No,No,"NA","NA",Yes,1,2,4
7609,1992,Stayed the Same,Stayed the Same,Decreased,Stayed the Same,Decreased,Rent expenses,Loan from Family or Friends,"NA",Yes,3 months to less than 6 months,No,"NA",No,Yes,Yes,"NA",Yes,1,2,5
7617,1982,Decreased,Stayed the Same,Decreased,Stayed the Same,Decreased,Insufficent and/or fluctuating customer demand,Temporary 10% Wage Subsidy,"NA",Yes,6 months to less than 12 months,No,"NA",No,Yes,Yes,"NA",Yes,1,2,3
7624,1980,Stayed the Same,Stayed the Same,Decreased,Increased,Increased,Cost of insurance,Temporary 10% Wage Subsidy,"NA",Yes,3 months to less than 6 months,Yes,Chinese,No,Yes,Yes,"NA",Yes,1,2,1
7637,2011,Stayed the Same,Stayed the Same,Decreased,Increased,Decreased,Other,CERS,"NA",Yes,Less than 1 month,Yes,Latin American,No,Yes,Yes,"NA",Yes,1,2,7
7647,1958,Stayed the Same,Increased,Stayed the Same,Decreased,Decreased,Shortage of labour force,Loan from Family or Friends,"NA",Yes,1 month to less than 3 months,No,"NA",No,Yes,Yes,"NA",Yes,1,2,1
7653,1915,Stayed the Same,Stayed the Same,Stayed the Same,Increased,Stayed the Same,Recruiting and training skilled employees,Regional Relief and Recovery Fund,"NA",Don't Know,6 months to less than 12 months,No,"NA",No,Yes,Yes,"NA",Yes,1,2,3
7663,2004,Decreased,Increased,Decreased,Increased,Decreased,Cost of delivery and take out,CEWS,"NA",Don't Know,1 month to less than 3 months,Yes,South Asian,Yes,Yes,Yes,"NA",Yes,1,2,3
7667,1963,Increased,Stayed the Same,Decreased,Stayed the Same,Increased,High speed internet,Grant or Loan Funding from Philanthropic or Mutual-Aid Sources,"NA",No,Don't Know,No,"NA",No,Yes,Yes,"NA",Yes,1,2,2
7669,1913,Stayed the Same,Stayed the Same,Decreased,Increased,Decreased,Rising cost of inputs,CEBA,"NA",Don't Know,Not considering permanent closure or bankrupcy,No,"NA",No,Yes,Yes,"NA",Yes,1,2,4
7673,1968,Stayed the Same,Decreased,Stayed the Same,Increased,Stayed the Same,Recruiting and training skilled employees,Temporary 10% Wage Subsidy,"NA",Yes,Less than 1 month,Yes,South Asian,No,Yes,Yes,"NA",Yes,1,2,5
7674,1929,Stayed the Same,Stayed the Same,Decreased,Decreased,Decreased,Rent expenses,Loan from Family or Friends,"NA",No,12 months or more,No,"NA",Yes,Yes,"No, but our business used to use it",I don't trust these platforms,Yes,1,2,4
7675,1942,Stayed the Same,Stayed the Same,Decreased,Increased,Stayed the Same,"NA",Financial Institution (Term Loan or Line-of-Credit,"NA",No,Not considering permanent closure or bankrupcy,No,"NA",No,No,"NA","NA",Yes,1,2,5
7682,2016,Decreased,Increased,Stayed the Same,Stayed the Same,Decreased,Other,Loan from Family or Friends,"NA",Yes,1 month to less than 3 months,No,"NA",No,No,"NA","NA",Yes,1,2,4
7684,1948,Stayed the Same,Increased,Stayed the Same,Decreased,Stayed the Same,Recruiting and training skilled employees,"Provincial, Territorial or Municipal Government Programs","NA",Yes,12 months or more,No,"NA",Yes,Yes,Yes,"NA",Yes,1,2,3
7690,2020,Decreased,Stayed the Same,Decreased,Decreased,Increased,High speed internet,Loan from Family or Friends,"NA",Don't Know,Don't Know,Yes,Japanese,No,Yes,Yes,"NA",Yes,1,2,5
7694,1967,Stayed the Same,Increased,Increased,Increased,Decreased,"NA",Temporary 10% Wage Subsidy,"NA",Don't Know,Less than 1 month,Yes,South Asian,No,Yes,Yes,"NA",Yes,1,2,1
7698,2010,Stayed the Same,Stayed the Same,Decreased,Increased,Decreased,Government regulations,Other,"NA",No,Less than 1 month,No,"NA",No,No,"NA","NA",Yes,1,2,4
7702,1911,Stayed the Same,Decreased,Increased,Increased,Decreased,High speed internet,None of the Above,Did not meet eligibility requirements,Don't Know,12 months or more,No,"NA",No,No,"NA","NA",Yes,1,2,1
7703,1915,Decreased,Decreased,Decreased,Increased,Stayed the Same,Government regulations,CEBA,"NA",No,1 month to less than 3 months,No,"NA",No,No,"NA","NA",Yes,1,2,6
7704,1965,Stayed the Same,Decreased,Increased,Decreased,Stayed the Same,Supply chain challenges,"Provincial, Territorial or Municipal Government Programs","NA",Yes,1 month to less than 3 months,No,"NA",No,No,"NA","NA",Yes,1,2,5
7708,2019,Stayed the Same,Stayed the Same,Decreased,Increased,Increased,Maintaining sufficient cash flow or managing debt,Temporary 10% Wage Subsidy,"NA",Don't Know,3 months to less than 6 months,No,"NA",No,Yes,Yes,"NA",Yes,1,2,0
7709,2000,Stayed the Same,Decreased,Decreased,Increased,Decreased,Shortage of space and equipment,CEBA,"NA",No,6 months to less than 12 months,No,"NA",Yes,Yes,"No, but our business used to use it",Commission fees too high,Yes,1,2,4
7712,2016,Stayed the Same,Stayed the Same,Decreased,Increased,Stayed the Same,Cost of delivery and take out,Other,"NA",Don't Know,Don't Know,No,"NA",No,Yes,Yes,"NA",Yes,1,2,5
7715,1904,Stayed the Same,Stayed the Same,Decreased,Increased,Decreased,Maintaining sufficient cash flow or managing debt,None of the Above,Lack of awareness,No,1 month to less than 3 months,Yes,Korean,No,Yes,Yes,"NA",Yes,1,2,6
7721,1928,Increased,Stayed the Same,Decreased,Increased,Decreased,Recruiting and training skilled employees,Temporary 10% Wage Subsidy,"NA",No,6 months to less than 12 months,Yes,Chinese,No,No,"NA","NA",Yes,1,2,4
7725,1942,Stayed the Same,Decreased,Increased,Increased,Decreased,High speed internet,Regional Relief and Recovery Fund,"NA",Yes,3 months to less than 6 months,No,"NA",No,Yes,"No, but our business used to use it",Commission fees too high,Yes,1,2,2
7726,1952,Stayed the Same,Stayed the Same,Increased,Increased,Increased,Supply chain challenges,Regional Relief and Recovery Fund,"NA",Don't Know,1 month to less than 3 months,No,"NA",No,Yes,Yes,"NA",Yes,1,2,2
7728,2008,Decreased,Decreased,Decreased,Increased,Decreased,Shortage of labour force,Grant or Loan Funding from Philanthropic or Mutual-Aid Sources,"NA",Don't Know,Less than 1 month,No,"NA",No,Yes,Yes,"NA",Yes,1,2,4
7741,2003,Stayed the Same,Decreased,Decreased,Stayed the Same,Decreased,Recruiting and training skilled employees,None of the Above,Waiting for approval or submitting application,Yes,12 months or more,Yes,Korean,No,Yes,Yes,"NA",Yes,1,2,1
7746,1912,Increased,Stayed the Same,Decreased,Increased,Decreased,Supply chain challenges,CERS,"NA",Yes,1 month to less than 3 months,No,"NA",No,Yes,"No, but our business used to use it",I don't understand how these platforms work,Yes,1,2,5
7748,1953,Decreased,Stayed the Same,Decreased,Increased,Decreased,Shortage of space and equipment,CERS,"NA",Yes,12 months or more,No,"NA",No,Yes,Yes,"NA",Yes,1,2,2
7749,1982,Increased,Stayed the Same,Decreased,Stayed the Same,Decreased,Government regulations,None of the Above,Waiting for approval or submitting application,Don't Know,Less than 1 month,No,"NA",No,Yes,Yes,"NA",Yes,1,2,5
7750,1912,Stayed the Same,Stayed the Same,Decreased,Increased,Decreased,High speed internet,Grant or Loan Funding from Philanthropic or Mutual-Aid Sources,"NA",Yes,Less than 1 month,No,"NA",No,Yes,Yes,"NA",Yes,1,2,3
7762,1904,Stayed the Same,Decreased,Increased,Stayed the Same,Decreased,Increasing competition,CERS,"NA",No,Don't Know,No,"NA",No,Yes,Yes,"NA",Yes,1,2,1
7763,2004,Stayed the Same,Stayed the Same,Decreased,Increased,Decreased,Recruiting and training skilled employees,CEWS,"NA",No,6 months to less than 12 months,No,"NA",No,Yes,Yes,"NA",Yes,1,2,5
7768,1907,Increased,Increased,Decreased,Increased,Stayed the Same,Insufficent and/or fluctuating customer demand,CEBA,"NA",Yes,6 months to less than 12 months,No,"NA",No,No,"NA","NA",Yes,1,2,3
7769,1982,Stayed the Same,Stayed the Same,Increased,Increased,Stayed the Same,Government regulations,CECRA,"NA",No,12 months or more,No,"NA",Yes,Yes,Yes,"NA",Yes,1,2,4
7771,1948,Stayed the Same,Stayed the Same,Increased,Decreased,Decreased,Rising cost of inputs,Loan from Family or Friends,"NA",No,Less than 1 month,No,"NA",No,Yes,Yes,"NA",Yes,1,2,3
7776,1977,Stayed the Same,Stayed the Same,Decreased,Stayed the Same,Increased,Shortage of space and equipment,None of the Above,Lack of awareness,No,Not considering permanent closure or bankrupcy,No,"NA",No,Yes,"No, but our business used to use it",I don't understand how these platforms work,Yes,1,2,2
7777,1928,Increased,Stayed the Same,Decreased,Increased,Decreased,Government regulations,Regional Relief and Recovery Fund,"NA",No,Don't Know,No,"NA",No,No,"NA","NA",Yes,1,2,0
7784,2002,Increased,Stayed the Same,Decreased,Stayed the Same,Stayed the Same,Cost of insurance,Other,"NA",No,12 months or more,No,"NA",No,Yes,Yes,"NA",Yes,1,2,4
7788,1921,Stayed the Same,Stayed the Same,Decreased,Increased,Increased,Rent expenses,Loan from Family or Friends,"NA",No,Not considering permanent closure or bankrupcy,No,"NA",No,No,"NA","NA",Yes,1,2,4
7789,1946,Stayed the Same,Decreased,Decreased,Decreased,Decreased,Government regulations,CECRA,"NA",Don't Know,1 month to less than 3 months,No,"NA",No,Yes,"No, but our business used to use it",Commission fees too high,Yes,1,2,1
7790,2005,Stayed the Same,Stayed the Same,Decreased,Increased,Decreased,Government regulations,Temporary 10% Wage Subsidy,"NA",No,Not considering permanent closure or bankrupcy,No,"NA",No,Yes,Yes,"NA",Yes,1,2,1
7804,1945,Stayed the Same,Stayed the Same,Decreased,Increased,Stayed the Same,Other,Temporary 10% Wage Subsidy,"NA",Yes,Don't Know,No,"NA",Yes,Yes,Yes,"NA",Yes,1,2,3
7805,1969,Stayed the Same,Stayed the Same,Increased,Decreased,Decreased,Government regulations,Financial Institution (Term Loan or Line-of-Credit,"NA",No,1 month to less than 3 months,No,"NA",No,Yes,Yes,"NA",Yes,1,2,7
7806,1948,Stayed the Same,Stayed the Same,Increased,Decreased,Decreased,Increasing competition,CECRA,"NA",No,3 months to less than 6 months,No,"NA",No,Yes,Yes,"NA",Yes,1,2,4
7811,1975,Stayed the Same,Stayed the Same,Stayed the Same,Increased,Decreased,Government regulations,Loan from Family or Friends,"NA",Yes,1 month to less than 3 months,No,"NA",No,Yes,Yes,"NA",Yes,1,2,6
7814,2004,Decreased,Stayed the Same,Stayed the Same,Decreased,Decreased,Shortage of space and equipment,CEWS,"NA",No,1 month to less than 3 months,No,"NA",No,No,"NA","NA",Yes,1,2,3
7819,1990,Increased,Stayed the Same,Decreased,Increased,Decreased,High speed internet,Temporary 10% Wage Subsidy,"NA",Yes,12 months or more,No,"NA",No,Yes,Yes,"NA",Yes,1,2,3
7821,1927,Stayed the Same,Increased,Decreased,Increased,Increased,Shortage of space and equipment,CEBA,"NA",No,1 month to less than 3 months,No,"NA",No,Yes,Yes,"NA",Yes,1,2,5
7825,1960,Stayed the Same,Increased,Increased,Increased,Increased,Maintaining sufficient cash flow or managing debt,Other,"NA",Yes,Not considering permanent closure or bankrupcy,No,"NA",No,Yes,Yes,"NA",Yes,1,2,4
7830,1984,Decreased,Stayed the Same,Decreased,Increased,Stayed the Same,Increasing competition,Financial Institution (Term Loan or Line-of-Credit,"NA",No,Less than 1 month,No,"NA",Yes,Yes,Yes,"NA",Yes,1,2,1
